,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),MYC/8q (Amp)
ATRX (M),-3.29,-0.22,-0.67,-0.02,-0.26
SETD2 (M),-0.1,-2.8,-0.56,0.0,-0.75
BCL2/18q (Del),-0.0,-0.07,-1.07,0.51,-0.1
SMAD4 (M),-0.13,0.0,0.0,-3.33,-0.23
MYC/8q (Amp),-0.16,-0.75,-1.07,-0.13,-0.63
