,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),TP53 (M)
ATRX (M),-3.21,-0.25,-0.62,-0.03,-0.43
SETD2 (M),-0.07,-2.66,-0.64,0.0,-0.98
BCL2/18q (Del),-0.0,-0.01,-1.08,0.48,-0.05
SMAD4 (M),-0.08,0.0,0.01,-3.11,-0.87
TP53 (M),-0.25,-1.17,-1.4,-0.21,-0.09
