,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),RBM10 (M)
ATRX (M),-3.37,-0.25,-0.58,-0.06,-0.0
SETD2 (M),-0.2,-3.01,-0.35,0.0,0.0
BCL2/18q (Del),-0.01,-0.24,-1.04,0.46,-0.64
SMAD4 (M),-0.12,0.0,0.0,-3.34,-0.65
RBM10 (M),-0.0,0.0,-0.71,-0.46,-1.94
