,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),TERT/5p (Amp)
ATRX (M),-3.29,-0.24,-0.46,-0.06,-0.35
SETD2 (M),-0.1,-2.75,-0.32,0.0,-1.07
BCL2/18q (Del),-0.09,-0.22,-1.03,0.5,-0.2
SMAD4 (M),-0.11,0.0,0.0,-3.23,-0.54
TERT/5p (Amp),-0.16,-0.82,-0.7,-0.33,-0.46
