,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),ATM (M)
ATRX (M),-3.41,-0.23,-0.64,-0.04,0.63
SETD2 (M),-0.17,-2.98,-0.37,0.0,-0.6
BCL2/18q (Del),-0.0,-0.26,-1.06,0.44,-0.9
SMAD4 (M),-0.11,0.0,0.0,-3.36,-0.94
ATM (M),0.0,-0.32,-0.32,-0.8,-2.7
