,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),KMT2D (M)
ATRX (M),-3.38,-0.24,-0.55,-0.08,-0.0
SETD2 (M),-0.22,-3.0,-0.35,0.0,-0.0
BCL2/18q (Del),-0.07,-0.28,-1.08,0.44,-0.45
SMAD4 (M),-0.17,0.0,0.0,-3.39,-0.0
KMT2D (M),-0.0,-0.0,-0.41,-0.01,-3.37
