,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),KMT2D (M)
TP53 (M),-0.32,1.06,-0.11,-0.05,-0.0
RB1 (M),0.0,-3.18,0.06,-0.0,-1.19
RB1/13q (Del),-0.32,0.0,-1.1,-0.01,-0.4
ATRX (M),-0.88,-0.0,-0.17,-3.18,0.0
KMT2D (M),-0.3,-0.99,-0.61,0.0,-3.22
