,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),TERT/5p (Amp)
TP53 (M),-0.2,0.0,-0.0,-0.01,-0.44
RB1 (M),1.08,-3.87,0.0,-0.0,0.27
RB1/13q (Del),-0.29,0.0,-0.98,-0.0,-0.54
ATRX (M),-0.79,-0.0,-0.05,-3.1,-0.47
TERT/5p (Amp),-0.39,0.01,-0.1,-0.01,-0.47
