,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),RBM10 (M)
TP53 (M),-0.22,0.0,-0.0,-0.04,-1.04
RB1 (M),1.07,-3.71,0.0,-0.0,-0.57
RB1/13q (Del),-0.45,0.0,-0.99,-0.0,-0.92
ATRX (M),-0.75,-0.0,-0.11,-3.23,-0.0
RBM10 (M),-1.68,-0.01,-0.72,-0.0,-1.55
