,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),SETD2 (M)
TP53 (M),-0.29,0.0,-0.0,-0.09,-0.64
RB1 (M),1.05,-3.71,0.0,-0.0,-1.47
RB1/13q (Del),-0.43,0.0,-1.05,-0.01,-0.49
ATRX (M),-0.78,-0.0,-0.13,-3.2,-0.32
SETD2 (M),-1.83,-0.7,-0.95,-0.01,-2.52
