,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),NF1 (M)
TP53 (M),-0.31,0.0,-0.01,-0.07,-0.0
RB1 (M),1.05,-3.74,0.0,-0.0,-0.18
RB1/13q (Del),-0.42,0.0,-1.06,-0.01,-0.29
ATRX (M),-0.85,-0.0,-0.15,-3.19,-0.0
NF1 (M),-0.33,-0.0,-0.46,-0.0,-2.58
