,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),STK11 (M)
TP53 (M),-0.2,0.0,-0.0,-0.28,-0.85
RB1 (M),0.99,-3.59,-0.0,-0.01,-1.52
RB1/13q (Del),-0.46,0.0,-0.99,-0.19,-0.53
ATRX (M),-0.58,-0.0,-0.01,-3.19,-0.94
STK11 (M),-2.58,-0.77,-1.5,-0.11,-1.07
