,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),BRAF (M)
TP53 (M),-0.31,1.08,-0.14,-0.0,-0.03
RB1 (M),0.0,-3.18,0.06,-0.0,-0.35
RB1/13q (Del),-0.29,0.0,-1.11,-0.0,-0.17
ATRX (M),-0.96,-0.0,-0.17,-3.21,0.67
BRAF (M),-1.84,-0.0,-1.29,0.0,-2.37
