,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),SMAD4 (M)
TP53 (M),-0.3,1.07,-0.21,-0.0,-0.22
RB1 (M),0.0,-3.19,0.03,-0.0,-0.0
RB1/13q (Del),-0.21,0.0,-1.13,-0.0,-0.36
ATRX (M),-0.91,-0.0,-0.19,-3.17,-0.11
SMAD4 (M),-1.21,-0.0,-0.76,-0.02,-2.94
