,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),MET (M)
TP53 (M),-0.27,0.0,-0.08,-0.06,-0.97
RB1 (M),1.08,-3.77,-0.0,-0.0,0.14
RB1/13q (Del),-0.34,-0.0,-1.08,-0.0,-0.82
ATRX (M),-0.84,-0.0,-0.17,-3.18,-0.58
MET (M),-1.09,0.0,-0.58,-0.2,-2.72
