,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),MCL1/1q (Amp)
TP53 (M),-0.15,1.21,-0.0,-0.0,-0.73
RB1 (M),0.0,-3.23,0.19,-0.0,0.0
RB1/13q (Del),-0.29,0.0,-0.95,-0.0,-0.66
ATRX (M),-0.77,-0.0,-0.11,-3.16,-0.21
MCL1/1q (Amp),-0.8,0.26,-0.0,-0.17,-0.36
