,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),PIK3CA (M)
TP53 (M),-0.24,0.0,-0.35,-0.19,-0.52
RB1 (M),1.13,-3.88,-0.0,-0.0,1.08
RB1/13q (Del),-0.06,-0.0,-1.16,-0.0,-0.97
ATRX (M),-0.6,-0.0,-0.25,-3.24,0.0
PIK3CA (M),-1.01,-0.0,-0.01,-0.0,-2.58
