,TP53 (M),RB1 (M),RB1/13q (Del),ATRX (M),null
TP53 (M),-0.29,1.07,-0.3,-0.04,0.0
RB1 (M),0.0,-3.18,0.01,-0.0,0.0
RB1/13q (Del),-0.14,0.0,-1.16,-0.0,0.0
ATRX (M),-0.85,-0.0,-0.22,-3.18,0.0
null,0.0,0.0,0.0,0.0,0.0
