,T0,T1,T2,D_0
T0,-0.88,-0.65,-0.43,0.27
T1,-0.25,-1.96,0.69,-0.1
T2,0.41,-0.24,-2.2,0.05
D_0,-0.13,1.06,-0.0,-1.32
