,T0,T1,T2,B_2
T0,-0.87,-0.63,0.13,0.0
T1,-0.25,-2.0,0.06,0.55
T2,0.03,0.5,-2.12,-0.23
B_2,-0.2,-0.05,-0.03,-1.56
