,T0,T1,T2,A_1
T0,-0.85,-0.88,0.09,0.0
T1,0.0,-1.94,0.17,-0.54
T2,0.11,0.4,-2.11,-0.72
A_1,-0.06,-0.02,-0.65,-2.16
