,T0,T1,T2,B_1
T0,-0.66,-0.67,0.21,-0.52
T1,-0.24,-1.96,0.0,0.0
T2,-0.01,0.39,-2.26,0.4
B_1,0.37,0.43,-0.93,-0.13
