,T0,T1,T2,E_2
T0,-0.83,-0.71,0.16,0.05
T1,-0.31,-1.92,-0.0,-0.29
T2,0.0,0.53,-2.11,0.29
E_2,-0.0,-0.19,0.0,-2.21
