,T0,T1,T2,A_1
T0,-0.84,-0.29,-0.02,0.0
T1,-0.75,-1.85,0.0,0.0
T2,0.22,0.59,-2.07,-1.43
A_1,0.0,-0.78,-0.14,-2.13
