,T0,T1,T2,C_0
T0,-0.81,-1.02,-0.19,0.19
T1,-0.13,-1.98,0.01,-0.0
T2,0.33,0.5,-2.14,-0.33
C_0,-1.26,0.33,0.33,-1.62
