,FAT1 (M),KRAS (M),BRAF (M),ARID1A (M)
FAT1 (M),-2.83,-0.41,-0.04,1.85
KRAS (M),-1.31,0.09,-2.63,-0.83
BRAF (M),0.0,-3.0,-1.13,-0.12
ARID1A (M),-0.0,-1.15,-0.0,-1.54
