,FAT1 (M),KRAS (M),BRAF (M),ASXL1/20q (Amp)
FAT1 (M),-0.91,-1.65,-1.45,-2.53
KRAS (M),-0.94,0.7,-3.36,-1.07
BRAF (M),-0.0,-3.16,-0.14,-2.05
ASXL1/20q (Amp),-2.98,-3.78,-4.68,1.72
