,FAT1 (M),KRAS (M),BRAF (M),NOTCH3 (M)
FAT1 (M),-2.4,-0.76,-0.0,1.34
KRAS (M),-0.89,0.06,-2.8,-0.78
BRAF (M),-0.0,-2.88,-1.15,-0.0
NOTCH3 (M),1.35,-0.72,-0.0,-2.58
