,FAT1 (M),KRAS (M),BRAF (M),RAC1/7p (Amp)
FAT1 (M),-1.9,-0.98,-0.04,-1.03
KRAS (M),-0.81,0.21,-2.79,-0.46
BRAF (M),-0.01,-3.06,-0.79,-1.05
RAC1/7p (Amp),-2.35,-3.05,-3.25,0.58
