,FAT1 (M),KRAS (M),BRAF (M),RNF43 (M)
FAT1 (M),-2.25,-0.9,0.0,-0.0
KRAS (M),-0.46,0.08,-2.19,-1.98
BRAF (M),-0.51,-3.19,-1.38,1.61
RNF43 (M),1.72,-1.24,-0.0,-1.72
