,FAT1 (M),KRAS (M),BRAF (M),AMER1 (M)
FAT1 (M),-2.24,-0.91,0.0,0.0
KRAS (M),-0.84,0.04,-2.83,-0.24
BRAF (M),0.0,-2.87,-1.15,-0.14
AMER1 (M),0.94,-0.02,-0.28,-2.56
