,FAT1 (M),KRAS (M),BRAF (M),KMT2C (M)
FAT1 (M),-2.49,-0.92,0.0,1.88
KRAS (M),-0.64,0.06,-2.89,-1.06
BRAF (M),0.0,-2.81,-1.13,-0.47
KMT2C (M),0.0,-0.52,-0.0,-2.39
