,FAT1 (M),KRAS (M),BRAF (M),TP53/17p (Del)
FAT1 (M),-1.77,-0.87,-0.1,-2.41
KRAS (M),-1.11,0.39,-3.03,-1.12
BRAF (M),-0.2,-2.89,-0.71,-1.66
TP53/17p (Del),-2.22,-1.33,-2.14,0.26
