,FAT1 (M),KRAS (M),BRAF (M),MYC/8q (Amp)
FAT1 (M),-1.9,-0.9,-0.0,-1.12
KRAS (M),-1.01,0.39,-3.01,-1.01
BRAF (M),0.0,-2.84,-0.87,-0.76
MYC/8q (Amp),-1.72,-2.0,-2.26,0.45
