,FAT1 (M),KRAS (M),BRAF (M),KMT2D (M)
FAT1 (M),-2.76,-0.82,-0.81,2.41
KRAS (M),-0.6,0.08,-2.73,-1.02
BRAF (M),0.7,-2.91,-1.13,-0.88
KMT2D (M),-0.0,-0.83,0.58,-1.82
