,FAT1 (M),KRAS (M),BRAF (M),PTPRS (M)
FAT1 (M),-2.18,-1.22,0.0,-0.0
KRAS (M),-0.33,0.06,-3.03,-1.04
BRAF (M),-0.11,-2.68,-1.21,0.65
PTPRS (M),1.69,-0.45,-0.0,-2.28
