,FAT1 (M),KRAS (M),BRAF (M),FLT3/13q (Amp)
FAT1 (M),-1.55,-1.35,-0.25,-1.7
KRAS (M),-0.54,0.23,-2.82,-0.42
BRAF (M),-0.25,-3.07,-0.55,-1.55
FLT3/13q (Amp),-2.47,-2.96,-3.05,0.98
