,FAT1 (M),KRAS (M),BRAF (M),ATM (M)
FAT1 (M),-2.23,-0.99,0.0,-0.0
KRAS (M),-0.61,0.07,-3.2,-1.24
BRAF (M),-0.0,-2.58,-1.17,0.0
ATM (M),1.24,-0.18,0.0,-2.5
