,FAT1 (M),KRAS (M),BRAF (M),SOX9 (M)
FAT1 (M),-2.3,-1.07,0.0,0.64
KRAS (M),-0.59,0.08,-2.51,-1.01
BRAF (M),-0.0,-3.28,-1.13,-0.0
SOX9 (M),0.0,-0.23,-0.53,-1.8
