,FAT1 (M),KRAS (M),BRAF (M),CTNNB1 (M)
FAT1 (M),-2.36,-0.89,0.1,0.91
KRAS (M),-0.84,0.06,-2.99,-0.58
BRAF (M),0.0,-2.73,-1.12,-0.76
CTNNB1 (M),0.0,-0.31,-1.18,-2.1
