,FAT1 (M),KRAS (M),BRAF (M),TP53 (M)
FAT1 (M),-1.41,-1.03,-0.15,-1.37
KRAS (M),-1.21,0.92,-3.08,-1.34
BRAF (M),-0.01,-3.15,-0.32,-1.26
TP53 (M),-2.83,-3.37,-3.38,2.02
