,FAT1 (M),KRAS (M),BRAF (M),ID3/1p (Del)
FAT1 (M),-1.99,-0.83,-0.0,-1.81
KRAS (M),-1.02,0.29,-3.29,-1.35
BRAF (M),-0.0,-2.62,-0.93,-1.26
ID3/1p (Del),-1.6,-0.85,-1.81,-0.43
