,FAT1 (M),KRAS (M),BRAF (M),CREBBP (M)
FAT1 (M),-2.19,-1.14,0.0,-0.0
KRAS (M),-0.35,0.06,-2.92,-1.26
BRAF (M),-0.0,-2.77,-1.16,0.0
CREBBP (M),2.22,-0.7,-0.0,-2.64
