,FAT1 (M),KRAS (M),BRAF (M),SMAD4/18q (Del)
FAT1 (M),-1.28,-1.06,-0.53,-2.43
KRAS (M),-0.97,0.43,-2.99,-0.69
BRAF (M),-0.33,-3.01,-0.33,-1.81
SMAD4/18q (Del),-2.92,-2.62,-3.24,1.37
