,FAT1 (M),KRAS (M),BRAF (M),PTEN (M)
FAT1 (M),-2.22,-1.03,0.0,-0.0
KRAS (M),-0.55,0.06,-3.01,-1.17
BRAF (M),-0.0,-2.7,-1.16,0.07
PTEN (M),1.46,-0.2,-0.0,-2.5
