,FAT1 (M),KRAS (M),BRAF (M),TGFBR2 (M)
FAT1 (M),-2.27,-0.81,0.0,0.0
KRAS (M),-1.0,0.04,-2.77,-0.11
BRAF (M),0.0,-2.94,-1.15,0.0
TGFBR2 (M),0.8,-0.59,0.82,-2.7
