,FAT1 (M),KRAS (M),BRAF (M),null
FAT1 (M),-2.21,-1.04,0.0,0.0
KRAS (M),-0.71,0.03,-2.87,0.0
BRAF (M),0.0,-2.86,-1.15,0.0
null,0.0,0.0,0.0,0.0
