,FAT1 (M),KRAS (M),BRAF (M),APC (M)
FAT1 (M),-1.83,-1.22,-0.01,-0.57
KRAS (M),-0.4,0.02,-3.4,0.0
BRAF (M),-0.03,-2.34,-0.27,-1.69
APC (M),-1.74,-2.64,-4.39,1.79
