,FAT1 (M),KRAS (M),BRAF (M),B2M/15q (Del)
FAT1 (M),-2.03,-0.89,-0.0,-1.2
KRAS (M),-0.88,0.3,-3.02,-1.29
BRAF (M),-0.0,-2.93,-0.83,-1.95
B2M/15q (Del),-1.0,-1.24,-2.09,-0.35
