,FAT1 (M),KRAS (M),BRAF (M),FBXW7 (M)
FAT1 (M),-2.24,-0.92,0.0,0.0
KRAS (M),-0.67,0.09,-2.63,-1.03
BRAF (M),0.0,-3.02,-1.14,-0.0
FBXW7 (M),0.83,-0.18,-0.08,-1.71
