,FAT1 (M),KRAS (M),BRAF (M),SMAD4 (M)
FAT1 (M),-2.17,-1.06,0.0,-0.55
KRAS (M),-0.66,0.06,-2.75,-0.54
BRAF (M),0.0,-2.94,-1.15,-0.01
SMAD4 (M),-0.57,-0.21,-0.3,-1.85
