,T0,T1,T2,D_0
T0,-0.83,-1.63,-0.0,0.27
T1,-0.01,-2.07,0.0,-0.0
T2,-0.01,0.35,-1.88,-0.14
D_0,-0.0,0.73,-0.22,-1.27
