,T0,T1,T2,B_1
T0,-0.81,-1.06,-0.0,-0.0
T1,-0.18,-2.02,0.0,-0.01
T2,-0.03,0.34,-1.91,-0.0
B_1,-0.13,-0.0,-0.36,-0.11
