,T0,T1,T2,A_1
T0,-0.82,-0.76,-0.0,0.0
T1,-0.3,-1.94,0.0,-0.77
T2,-0.0,0.37,-1.87,-0.67
A_1,-0.0,-0.6,-0.8,-2.09
