,T0,T1,T2,C_0
T0,-0.78,-0.99,0.0,-0.04
T1,-0.08,-1.88,0.36,0.0
T2,0.03,0.0,-2.1,-0.0
C_0,-0.74,0.14,-0.0,-1.57
