,T0,T1,T2,E_1
T0,-0.81,-0.42,-0.0,-0.18
T1,-0.43,-1.74,0.0,-0.35
T2,0.0,0.43,-2.16,0.14
E_1,-0.01,-0.43,0.0,-2.64
