,FAT1 (M),KRAS (M),BRAF (M),CIC (M)
FAT1 (M),-2.6,-1.56,0.1,0.0
KRAS (M),-0.77,-0.01,-3.21,-0.94
BRAF (M),0.0,-2.98,-1.28,0.0
CIC (M),1.22,-1.36,0.38,-3.17
