,FAT1 (M),KRAS (M),BRAF (M),MSH6 (M)
FAT1 (M),-2.59,-1.63,0.1,0.0
KRAS (M),-0.66,-0.01,-3.16,-1.08
BRAF (M),0.0,-3.02,-1.28,0.0
MSH6 (M),1.84,-1.05,0.0,-3.01
