,FAT1 (M),KRAS (M),BRAF (M),NCOR1 (M)
FAT1 (M),-2.63,-1.39,0.13,0.0
KRAS (M),-0.95,-0.02,-3.1,-0.84
BRAF (M),0.0,-3.07,-1.28,0.0
NCOR1 (M),0.35,-1.32,0.33,-3.24
