,FAT1 (M),KRAS (M),BRAF (M),CASP8 (M)
FAT1 (M),-2.64,-1.34,0.13,0.0
KRAS (M),-0.95,-0.02,-3.05,-0.87
BRAF (M),0.0,-3.1,-1.28,0.0
CASP8 (M),1.78,-1.37,0.86,-3.37
