,FAT1 (M),KRAS (M),BRAF (M),NOTCH1 (M)
FAT1 (M),-2.63,-1.46,0.17,-0.0
KRAS (M),-0.81,-0.01,-3.13,-1.09
BRAF (M),-0.0,-3.04,-1.28,-0.0
NOTCH1 (M),1.55,-1.0,-0.2,-3.04
