,FAT1 (M),KRAS (M),BRAF (M),ERBB2 (M)
FAT1 (M),-2.64,-1.35,0.15,0.0
KRAS (M),-0.96,-0.01,-3.18,-0.92
BRAF (M),0.0,-3.0,-1.28,-0.06
ERBB2 (M),0.0,-0.89,-0.37,-2.77
