,FAT1 (M),KRAS (M),BRAF (M),POLE (M)
FAT1 (M),-2.61,-1.6,0.18,-0.0
KRAS (M),-0.69,-0.02,-3.21,-1.21
BRAF (M),-0.0,-3.0,-1.27,-0.35
POLE (M),1.58,-0.8,-1.26,-3.33
