,FAT1 (M),KRAS (M),BRAF (M),TGFBR2 (M)
FAT1 (M),-2.66,-1.23,0.13,0.0
KRAS (M),-1.15,-0.02,-3.0,-0.18
BRAF (M),0.0,-3.17,-1.27,0.0
TGFBR2 (M),0.53,-0.86,1.0,-2.99
